"response_id","municipality","age_grp","response_type","eligibility","age","gender","race","hisp_lat","accessCare"
45,"CORNELIUS","45-64 years","Web","Yes",50,"woman","White",0,1
46,"PINEVILLE","25-44 years","Web","Yes",41,"woman","Black",0,1
47,"CHARLOTTE","65-84 years","Web","Yes",78,"woman","White",0,0
48,"CHARLOTTE","65-84 years","Web","Yes",78,"woman","Other",0,1
49,"MATTHEWS","45-64 years","Web","Yes",45,"man","Other",0,1
50,"CHARLOTTE","65-84 years","Postcard","Yes",75,"man","White",0,1
51,"MATTHEWS","45-64 years","Web","Yes",60,"man","Asian",1,1
52,"HUNTERSVILLE","45-64 years","Web","Yes",58,"man","Black",0,1
53,"MATTHEWS","45-64 years","Postcard","Yes",56,"self-describe","Asian",1,0
54,"MINT HILL","65-84 years","Web","Yes",66,"man","Prefer not to answer",1,1
55,"MATTHEWS","25-44 years","Web","Yes",34,"man","Other",0,1
56,"CHARLOTTE","85+ years","Web","Yes",87,"woman","Asian",1,0
57,"CORNELIUS","85+ years","Web","Yes",87,"woman","White",0,0
58,"CHARLOTTE","65-84 years","Postcard","Yes",82,"man","White",0,0
59,"HUNTERSVILLE","18-24 years","Postcard","Yes",22,"man","White",0,1
60,"PINEVILLE","18-24 years","Web","Yes",19,"man","White",0,0
61,"MATTHEWS","25-44 years","Web","Yes",39,"woman","White",0,0
62,"MATTHEWS","65-84 years","Web","Yes",74,"man","White",0,0
63,"MINT HILL","65-84 years","Web","Yes",83,"man","Black",1,1
64,"CHARLOTTE","25-44 years","Web","Yes",33,"woman","White",0,0
65,"CHARLOTTE","65-84 years","Postcard","Yes",68,"man","White",0,1
66,"DAVIDSON","45-64 years","Web","Yes",56,"woman","Other",0,0
67,"CHARLOTTE","45-64 years","Postcard","Yes",57,"woman","White",0,1
68,"CHARLOTTE","45-64 years","Postcard","Yes",55,"man","Black",0,1
69,"CHARLOTTE","65-84 years","Postcard","Yes",77,"prefer not to answer","White",0,0
70,"CHARLOTTE","65-84 years","Web","Yes",76,"woman","Asian",1,0
71,"CHARLOTTE","25-44 years","Postcard","Yes",27,"man","Black",0,1
72,"CHARLOTTE","65-84 years","Web","Yes",81,"woman","White",0,0
73,"CHARLOTTE","65-84 years","Web","Yes",80,"woman","White",0,0
74,"CHARLOTTE","65-84 years","Web","Yes",66,"woman","Black",0,1
75,"CORNELIUS","65-84 years","Web","Yes",81,"man","Black",0,1
76,"CHARLOTTE","45-64 years","Web","Yes",49,"self-describe","Black",0,1
77,"CHARLOTTE","18-24 years","Web","Yes",24,"woman","Black",0,0
78,"DAVIDSON","25-44 years","Web","Yes",38,"man","White",0,0
79,"CORNELIUS","25-44 years","Web","Yes",37,"man","White",0,0
80,"MATTHEWS","25-44 years","Web","Yes",43,"man","White",0,1
81,"MINT HILL","85+ years","Web","Yes",85,"woman","Prefer not to answer",1,1
82,"CHARLOTTE","25-44 years","Web","Yes",32,"man","Black",0,1
83,"CHARLOTTE","25-44 years","Web","Yes",31,"man","White",0,0
84,"MATTHEWS","25-44 years","Postcard","Yes",44,"woman","White",0,1
85,"MATTHEWS","45-64 years","Web","Yes",57,"man","White",0,0
86,"HUNTERSVILLE","65-84 years","Web","Yes",75,"man","White",0,0
87,"PINEVILLE","45-64 years","Postcard","Yes",45,"man","Black",0,1
88,"CHARLOTTE","25-44 years","Postcard","Yes",43,"man","Black",0,0
89,"MATTHEWS","65-84 years","Postcard","Yes",80,"man","Prefer not to answer",1,1
90,"CHARLOTTE","65-84 years","Web","Yes",83,"woman","AIAN",0,1
91,"MATTHEWS","25-44 years","Web","Yes",42,"man","White",0,1
92,"PINEVILLE","18-24 years","Web","Yes",20,"man","Black",0,1
93,"PINEVILLE","85+ years","Web","Yes",89,"woman","Black",0,1
94,"HUNTERSVILLE","45-64 years","Web","Yes",61,"woman","Other",0,1
95,"CHARLOTTE","45-64 years","Web","Yes",59,"man","Black",0,0
96,"CHARLOTTE","18-24 years","Web","Yes",23,"woman","AIAN",0,0
97,"CHARLOTTE","45-64 years","Postcard","Yes",56,"man","Other",0,1
98,"CHARLOTTE","65-84 years","Web","Yes",69,"woman","White",0,1
99,"MINT HILL","25-44 years","Web","Yes",40,"woman","White",0,1
100,"CHARLOTTE","65-84 years","Web","Yes",67,"man","White",0,0
101,"CHARLOTTE","45-64 years","Web","Yes",60,"prefer not to answer","White",0,0
102,"MATTHEWS","25-44 years","Web","Yes",36,"man","Black",0,0
103,"MATTHEWS","85+ years","Web","Yes",86,"woman","White",0,1
104,"MATTHEWS","65-84 years","Postcard","Yes",68,"man","Other",0,1
105,"MATTHEWS","25-44 years","Web","Yes",28,"woman","Asian",1,1
106,"CHARLOTTE","25-44 years","Postcard","Yes",29,"woman","White",0,0
107,"CHARLOTTE","25-44 years","Postcard","Yes",25,"woman","White",0,0
108,"MINT HILL","25-44 years","Web","Yes",41,"man","Black",0,1
109,"DAVIDSON","45-64 years","Web","Yes",58,"woman","White",0,1
110,"CHARLOTTE","45-64 years","Web","Yes",53,"woman","White",0,0
111,"MINT HILL","85+ years","Postcard","Yes",89,"woman","White",0,1
112,"CHARLOTTE","65-84 years","Web","Yes",72,"woman","White",0,0
113,"CHARLOTTE","25-44 years","Web","Yes",26,"woman","Asian",1,1
114,"HUNTERSVILLE","45-64 years","Postcard","Yes",64,"man","Black",0,1
115,"PINEVILLE","25-44 years","Web","Yes",32,"man","Black",0,1
116,"PINEVILLE","65-84 years","Web","Yes",65,"woman","Prefer not to answer",1,1
117,"CHARLOTTE","45-64 years","Web","Yes",59,"man","Black",0,0
118,"MATTHEWS","65-84 years","Postcard","Yes",77,"self-describe","White",0,1
119,"CHARLOTTE","85+ years","Web","Yes",87,"woman","Prefer not to answer",1,1
120,"CHARLOTTE","25-44 years","Web","Yes",29,"prefer not to answer","Other",0,1
121,"MATTHEWS","18-24 years","Web","Yes",19,"man","Black",0,1
122,"MATTHEWS","18-24 years","Web","Yes",24,"woman","Prefer not to answer",1,0
123,"CORNELIUS","18-24 years","Web","Yes",20,"woman","White",0,1
124,"MINT HILL","18-24 years","Web","Yes",20,"woman","White",0,1
125,"DAVIDSON","25-44 years","Web","Yes",44,"woman","White",0,0
126,"HUNTERSVILLE","45-64 years","Postcard","Yes",57,"man","White",0,1
127,"CHARLOTTE","45-64 years","Web","Yes",50,"woman","Black",0,0
128,"CHARLOTTE","18-24 years","Web","Yes",18,"woman","Prefer not to answer",1,0
129,"CHARLOTTE","25-44 years","Web","Yes",25,"man","White",0,0
130,"CHARLOTTE","45-64 years","Web","Yes",49,"man","Other",0,1
131,"DAVIDSON","65-84 years","Web","Yes",65,"prefer not to answer","White",0,1
132,"HUNTERSVILLE","18-24 years","Postcard","Yes",21,"woman","White",0,1
133,"CHARLOTTE","85+ years","Web","Yes",87,"self-describe","White",0,1
134,"CHARLOTTE","25-44 years","Web","Yes",36,"woman","White",0,0
135,"DAVIDSON","45-64 years","Web","Yes",49,"man","Asian",1,0
136,"CHARLOTTE","25-44 years","Web","Yes",26,"man","White",0,0
137,"MINT HILL","25-44 years","Postcard","Yes",29,"man","Other",0,1
138,"HUNTERSVILLE","25-44 years","Postcard","Yes",28,"man","Black",0,1
139,"HUNTERSVILLE","45-64 years","Postcard","Yes",63,"man","White",0,0
140,"PINEVILLE","25-44 years","Web","Yes",33,"man","Asian",1,1
141,"MINT HILL","18-24 years","Web","Yes",18,"man","Asian",1,1
142,"CHARLOTTE","65-84 years","Web","Yes",80,"prefer not to answer","White",0,0
143,"CORNELIUS","25-44 years","Web","Yes",38,"man","AIAN",0,1
144,"HUNTERSVILLE","45-64 years","Web","Yes",47,"woman","White",0,1
145,"CHARLOTTE","25-44 years","Postcard","Yes",30,"woman","White",0,1
146,"MATTHEWS","45-64 years","Web","Yes",51,"man","White",0,0
147,"MINT HILL","18-24 years","Web","Yes",21,"man","Black",0,1
148,"DAVIDSON","45-64 years","Web","Yes",45,"man","Other",0,1
149,"MINT HILL","65-84 years","Web","Yes",76,"man","White",0,0
150,"MINT HILL","25-44 years","Web","Yes",44,"woman","White",0,1
151,"DAVIDSON","85+ years","Postcard","Yes",86,"man","Asian",1,0
152,"MINT HILL","25-44 years","Web","Yes",42,"man","White",0,1
153,"DAVIDSON","18-24 years","Web","Yes",20,"man","White",0,1
154,"DAVIDSON","85+ years","Web","Yes",85,"self-describe","AIAN",0,1
155,"PINEVILLE","25-44 years","Web","Yes",42,"woman","Asian",1,0
156,"MINT HILL","25-44 years","Web","Yes",37,"woman","White",0,0
157,"CHARLOTTE","45-64 years","Web","Yes",51,"man","Black",0,0
158,"MATTHEWS","25-44 years","Web","Yes",43,"woman","Black",0,0
159,"MATTHEWS","18-24 years","Web","Yes",22,"woman","White",0,0
160,"CHARLOTTE","65-84 years","Web","Yes",78,"woman","Black",0,1
161,"MINT HILL","25-44 years","Web","Yes",26,"self-describe","White",0,0
162,"CHARLOTTE","65-84 years","Web","Yes",67,"man","Black",0,1
163,"CHARLOTTE","18-24 years","Web","Yes",23,"prefer not to answer","Black",0,0
164,"DAVIDSON","65-84 years","Web","Yes",77,"prefer not to answer","Other",0,1
165,"CHARLOTTE","45-64 years","Web","Yes",61,"man","White",0,1
166,"MINT HILL","25-44 years","Web","Yes",28,"woman","Black",1,1
167,"MINT HILL","65-84 years","Web","Yes",83,"self-describe","White",0,1
168,"HUNTERSVILLE","45-64 years","Web","Yes",64,"man","White",0,0
169,"CHARLOTTE","18-24 years","Web","Yes",20,"woman","White",0,0
170,"CHARLOTTE","45-64 years","Web","Yes",47,"self-describe","Other",0,0
171,"PINEVILLE","25-44 years","Web","Yes",38,"woman","Black",0,0
172,"MATTHEWS","45-64 years","Web","Yes",45,"man","White",0,1
173,"PINEVILLE","65-84 years","Postcard","Yes",79,"woman","Other",0,0
174,"CHARLOTTE","45-64 years","Web","Yes",50,"man","White",0,1
175,"PINEVILLE","45-64 years","Web","Yes",52,"woman","Black",0,0
176,"HUNTERSVILLE","65-84 years","Web","Yes",69,"man","White",0,1
177,"MINT HILL","45-64 years","Web","Yes",51,"woman","Black",0,1
178,"CHARLOTTE","45-64 years","Web","Yes",58,"woman","White",0,0
179,"MINT HILL","65-84 years","Postcard","Yes",68,"woman","Asian",1,0
180,"HUNTERSVILLE","45-64 years","Web","Yes",64,"woman","White",0,1
181,"MATTHEWS","65-84 years","Postcard","Yes",75,"woman","White",0,1
182,"CHARLOTTE","65-84 years","Web","Yes",74,"woman","White",0,0
183,"PINEVILLE","25-44 years","Web","Yes",40,"man","Asian",1,0
184,"MATTHEWS","65-84 years","Web","Yes",65,"woman","Prefer not to answer",1,1
185,"CHARLOTTE","25-44 years","Web","Yes",39,"man","White",0,1
186,"MATTHEWS","25-44 years","Web","Yes",34,"prefer not to answer","Black",0,0
187,"DAVIDSON","85+ years","Web","Yes",86,"man","Black",0,1
188,"CHARLOTTE","25-44 years","Web","Yes",28,"man","Other",0,1
189,"CHARLOTTE","25-44 years","Postcard","Yes",32,"woman","Other",0,1
190,"DAVIDSON","45-64 years","Postcard","Yes",52,"woman","White",0,1
191,"CHARLOTTE","45-64 years","Web","Yes",50,"man","White",0,1
192,"PINEVILLE","25-44 years","Web","Yes",33,"woman","Prefer not to answer",1,0
193,"CHARLOTTE","45-64 years","Postcard","Yes",51,"woman","Asian",1,1
194,"PINEVILLE","65-84 years","Web","Yes",83,"woman","Black",0,0
195,"CHARLOTTE","45-64 years","Postcard","Yes",57,"man","White",0,1
196,"MATTHEWS","45-64 years","Web","Yes",45,"woman","White",0,0
197,"MATTHEWS","45-64 years","Web","Yes",64,"woman","Black",0,1
198,"MATTHEWS","45-64 years","Web","Yes",56,"woman","Prefer not to answer",1,0
199,"DAVIDSON","85+ years","Web","Yes",87,"woman","Prefer not to answer",1,1
200,"CHARLOTTE","25-44 years","Web","Yes",37,"woman","Black",0,0
201,"MINT HILL","18-24 years","Web","Yes",18,"man","Black",0,1
202,"CHARLOTTE","85+ years","Postcard","Yes",89,"man","White",0,1
203,"CHARLOTTE","65-84 years","Web","Yes",80,"man","White",0,1
204,"CORNELIUS","65-84 years","Web","Yes",84,"man","Prefer not to answer",1,1
205,"HUNTERSVILLE","18-24 years","Web","Yes",21,"woman","Black",0,0
206,"MINT HILL","65-84 years","Postcard","Yes",75,"woman","White",0,1
207,"DAVIDSON","25-44 years","Web","Yes",42,"man","White",0,1
208,"CHARLOTTE","45-64 years","Web","Yes",64,"prefer not to answer","Black",0,1
209,"CHARLOTTE","45-64 years","Web","Yes",55,"man","White",0,1
210,"MATTHEWS","25-44 years","Web","Yes",32,"woman","White",0,1
211,"CHARLOTTE","65-84 years","Web","Yes",80,"woman","Other",0,0
212,"HUNTERSVILLE","25-44 years","Web","Yes",38,"man","Black",0,1
213,"CHARLOTTE","65-84 years","Web","Yes",74,"man","Black",0,1
214,"MINT HILL","65-84 years","Web","Yes",70,"woman","White",0,1
215,"DAVIDSON","45-64 years","Web","Yes",63,"man","Black",0,1
216,"CHARLOTTE","25-44 years","Web","Yes",31,"prefer not to answer","White",0,0
217,"CHARLOTTE","25-44 years","Web","Yes",34,"woman","White",0,0
218,"DAVIDSON","45-64 years","Web","Yes",56,"prefer not to answer","Black",0,0
219,"DAVIDSON","25-44 years","Postcard","Yes",26,"man","Black",0,0
220,"CHARLOTTE","18-24 years","Postcard","Yes",23,"woman","Black",1,1
221,"MATTHEWS","25-44 years","Web","Yes",40,"woman","Black",0,1
222,"CHARLOTTE","65-84 years","Postcard","Yes",76,"woman","Other",0,0
223,"CHARLOTTE","45-64 years","Web","Yes",63,"man","White",0,0
224,"MATTHEWS","45-64 years","Web","Yes",55,"woman","White",0,1
225,"CHARLOTTE","25-44 years","Web","Yes",31,"woman","White",0,1
226,"PINEVILLE","85+ years","Web","Yes",89,"woman","White",0,1
227,"CHARLOTTE","65-84 years","Web","Yes",79,"man","Asian",1,1
228,"CHARLOTTE","45-64 years","Web","Yes",52,"woman","White",0,1
229,"MATTHEWS","25-44 years","Web","Yes",36,"man","Prefer not to answer",1,0
230,"CHARLOTTE","45-64 years","Postcard","Yes",47,"woman","Black",0,0
231,"MATTHEWS","25-44 years","Web","Yes",42,"woman","Black",0,0
232,"CHARLOTTE","45-64 years","Web","Yes",57,"woman","Other",0,0
233,"CHARLOTTE","25-44 years","Web","Yes",31,"woman","Other",0,1
234,"CHARLOTTE","25-44 years","Web","Yes",43,"man","AIAN",0,1
235,"CORNELIUS","25-44 years","Web","Yes",39,"self-describe","White",0,0
236,"CHARLOTTE","65-84 years","Web","Yes",65,"man","Black",0,0
237,"CORNELIUS","65-84 years","Web","Yes",68,"woman","White",0,0
238,"HUNTERSVILLE","18-24 years","Postcard","Yes",20,"woman","White",0,1
239,"CORNELIUS","45-64 years","Web","Yes",59,"woman","Black",0,1
240,"CHARLOTTE","25-44 years","Postcard","Yes",36,"man","White",0,0
241,"MINT HILL","45-64 years","Web","Yes",45,"woman","Asian",1,0
242,"MINT HILL","45-64 years","Web","Yes",62,"woman","Asian",1,1
243,"MINT HILL","85+ years","Web","Yes",88,"man","Asian",1,1
244,"MINT HILL","65-84 years","Web","Yes",80,"prefer not to answer","White",0,0
245,"MINT HILL","25-44 years","Web","Yes",36,"man","White",0,1
246,"PINEVILLE","45-64 years","Web","Yes",64,"man","Asian",1,1
247,"CHARLOTTE","25-44 years","Web","Yes",31,"man","White",0,0
248,"CHARLOTTE","45-64 years","Postcard","Yes",55,"man","Asian",1,0
249,"MATTHEWS","65-84 years","Postcard","Yes",70,"prefer not to answer","Asian",1,0
250,"PINEVILLE","65-84 years","Web","Yes",78,"man","Prefer not to answer",1,1
251,"CORNELIUS","45-64 years","Web","Yes",53,"man","White",0,1
252,"HUNTERSVILLE","45-64 years","Web","Yes",57,"man","White",0,1
253,"CHARLOTTE","45-64 years","Web","Yes",47,"woman","Prefer not to answer",1,1
254,"CHARLOTTE","25-44 years","Web","Yes",26,"woman","White",0,1
255,"DAVIDSON","65-84 years","Web","Yes",81,"man","White",0,1
256,"CHARLOTTE","45-64 years","Postcard","Yes",50,"man","Other",0,1
257,"CHARLOTTE","65-84 years","Web","Yes",69,"woman","Asian",1,0
258,"HUNTERSVILLE","25-44 years","Web","Yes",31,"man","Black",0,1
259,"CHARLOTTE","65-84 years","Web","Yes",70,"woman","Other",0,1
260,"PINEVILLE","65-84 years","Postcard","Yes",76,"man","White",0,1
261,"CHARLOTTE","45-64 years","Postcard","Yes",58,"woman","Black",0,0
262,"MINT HILL","85+ years","Postcard","Yes",85,"man","Asian",1,1
263,"CHARLOTTE","85+ years","Web","Yes",85,"woman","White",0,1
264,"HUNTERSVILLE","25-44 years","Postcard","Yes",25,"man","Other",0,0
265,"CHARLOTTE","18-24 years","Web","Yes",19,"self-describe","Prefer not to answer",1,1
266,"CHARLOTTE","45-64 years","Web","Yes",58,"man","Black",0,0
267,"CHARLOTTE","65-84 years","Web","Yes",72,"woman","Black",0,1
268,"CORNELIUS","25-44 years","Web","Yes",33,"man","Black",0,1
269,"PINEVILLE","65-84 years","Web","Yes",79,"man","White",0,1
270,"CHARLOTTE","65-84 years","Web","Yes",65,"woman","White",0,0
271,"DAVIDSON","45-64 years","Postcard","Yes",47,"man","Black",0,0
272,"MINT HILL","25-44 years","Web","Yes",29,"woman","Black",0,1
273,"MINT HILL","45-64 years","Web","Yes",52,"prefer not to answer","Prefer not to answer",1,0
274,"CHARLOTTE","25-44 years","Web","Yes",28,"woman","Asian",1,1
275,"HUNTERSVILLE","65-84 years","Postcard","Yes",81,"man","Other",0,0
276,"CORNELIUS","65-84 years","Web","Yes",67,"woman","Other",0,1
277,"CHARLOTTE","25-44 years","Postcard","Yes",38,"man","Black",0,1
278,"MATTHEWS","85+ years","Web","Yes",86,"woman","Black",0,0
279,"CHARLOTTE","65-84 years","Web","Yes",65,"woman","Black",0,1
280,"HUNTERSVILLE","25-44 years","Web","Yes",37,"woman","Black",0,1
281,"PINEVILLE","65-84 years","Postcard","Yes",84,"woman","Prefer not to answer",1,1
282,"DAVIDSON","45-64 years","Web","Yes",61,"woman","White",0,0
283,"HUNTERSVILLE","45-64 years","Web","Yes",50,"man","White",0,1
284,"CHARLOTTE","65-84 years","Web","Yes",78,"woman","White",0,0
285,"CHARLOTTE","25-44 years","Web","Yes",26,"man","Other",0,0
286,"HUNTERSVILLE","85+ years","Web","Yes",85,"woman","White",0,0
287,"CHARLOTTE","45-64 years","Web","Yes",52,"woman","AIAN",0,1
288,"CHARLOTTE","65-84 years","Web","Yes",82,"woman","Other",0,0
289,"CHARLOTTE","25-44 years","Web","Yes",25,"man","White",0,1
290,"CHARLOTTE","45-64 years","Web","Yes",62,"woman","Other",0,0
291,"CHARLOTTE","45-64 years","Web","Yes",64,"man","White",0,0
292,"CHARLOTTE","45-64 years","Web","Yes",57,"woman","White",0,0
293,"HUNTERSVILLE","65-84 years","Web","Yes",71,"man","Black",1,0
294,"DAVIDSON","45-64 years","Postcard","Yes",63,"man","White",0,1
295,"MINT HILL","45-64 years","Postcard","Yes",64,"man","White",0,0
296,"CHARLOTTE","25-44 years","Postcard","Yes",32,"woman","Other",0,0
297,"CHARLOTTE","25-44 years","Postcard","Yes",36,"man","Black",0,0
298,"CORNELIUS","25-44 years","Web","Yes",43,"man","White",0,0
299,"PINEVILLE","65-84 years","Web","Yes",69,"prefer not to answer","Black",0,0
300,"DAVIDSON","25-44 years","Postcard","Yes",39,"man","White",0,1
301,"CHARLOTTE","25-44 years","Postcard","Yes",38,"woman","White",0,1
302,"MATTHEWS","65-84 years","Web","Yes",68,"woman","Other",0,1
303,"CHARLOTTE","45-64 years","Postcard","Yes",55,"prefer not to answer","Other",0,1
304,"HUNTERSVILLE","25-44 years","Web","Yes",37,"woman","Black",0,1
305,"DAVIDSON","45-64 years","Web","Yes",46,"woman","Black",0,1
306,"MATTHEWS","65-84 years","Web","Yes",68,"woman","Asian",1,0
307,"DAVIDSON","18-24 years","Web","Yes",21,"woman","Other",0,0
308,"MINT HILL","65-84 years","Web","Yes",72,"woman","White",0,0
309,"CHARLOTTE","85+ years","Web","Yes",88,"man","Black",0,0
310,"MINT HILL","45-64 years","Web","Yes",45,"prefer not to answer","White",0,0
311,"CHARLOTTE","18-24 years","Web","Yes",21,"woman","White",0,1
312,"MATTHEWS","25-44 years","Web","Yes",39,"woman","White",0,0
313,"HUNTERSVILLE","45-64 years","Web","Yes",62,"man","White",0,1
314,"MINT HILL","65-84 years","Web","Yes",84,"woman","Asian",1,0
315,"HUNTERSVILLE","65-84 years","Web","Yes",83,"man","Black",1,0
316,"PINEVILLE","45-64 years","Postcard","Yes",51,"woman","Black",0,1
317,"HUNTERSVILLE","65-84 years","Postcard","Yes",72,"woman","White",0,1
318,"DAVIDSON","18-24 years","Web","Yes",18,"man","White",0,0
319,"CHARLOTTE","85+ years","Web","Yes",89,"woman","White",0,1
320,"CHARLOTTE","45-64 years","Postcard","Yes",55,"woman","White",0,1
321,"CHARLOTTE","18-24 years","Postcard","Yes",23,"woman","Other",0,0
322,"CHARLOTTE","25-44 years","Web","Yes",42,"man","Black",0,0
323,"MATTHEWS","25-44 years","Web","Yes",34,"man","Black",0,1
324,"CHARLOTTE","65-84 years","Web","Yes",78,"man","White",0,1
325,"MATTHEWS","25-44 years","Web","Yes",29,"man","Asian",1,0
326,"CHARLOTTE","18-24 years","Web","Yes",23,"prefer not to answer","Black",0,1
327,"CHARLOTTE","25-44 years","Postcard","Yes",44,"man","Other",0,0
328,"MINT HILL","25-44 years","Web","Yes",25,"woman","Black",0,1
329,"DAVIDSON","65-84 years","Web","Yes",82,"man","White",0,0
330,"HUNTERSVILLE","65-84 years","Postcard","Yes",74,"woman","White",0,1
331,"HUNTERSVILLE","45-64 years","Web","Yes",57,"woman","White",0,1
332,"DAVIDSON","25-44 years","Web","Yes",31,"woman","Black",0,0
333,"CHARLOTTE","45-64 years","Web","Yes",52,"man","White",0,0
334,"MATTHEWS","65-84 years","Postcard","Yes",65,"woman","White",0,1
335,"MATTHEWS","65-84 years","Web","Yes",73,"man","White",0,1
336,"DAVIDSON","65-84 years","Web","Yes",66,"man","White",0,0
337,"CHARLOTTE","25-44 years","Web","Yes",30,"man","Prefer not to answer",1,0
338,"DAVIDSON","65-84 years","Web","Yes",78,"woman","Black",0,1
339,"CHARLOTTE","65-84 years","Web","Yes",66,"man","AIAN",0,1
340,"CHARLOTTE","45-64 years","Postcard","Yes",63,"woman","White",0,0
341,"CHARLOTTE","65-84 years","Web","Yes",79,"man","AIAN",0,1
342,"HUNTERSVILLE","25-44 years","Web","Yes",25,"woman","AIAN",0,1
343,"MINT HILL","45-64 years","Web","Yes",60,"man","White",0,0
344,"DAVIDSON","25-44 years","Web","Yes",37,"woman","White",0,0
345,"DAVIDSON","45-64 years","Web","Yes",56,"woman","White",0,0
346,"CHARLOTTE","65-84 years","Web","Yes",66,"woman","Black",0,1
347,"CHARLOTTE","65-84 years","Postcard","Yes",81,"woman","Black",0,1
348,"CHARLOTTE","65-84 years","Web","Yes",79,"man","White",0,1
349,"MATTHEWS","65-84 years","Web","Yes",71,"woman","White",0,0
350,"CHARLOTTE","25-44 years","Web","Yes",26,"man","Black",0,0
351,"MINT HILL","45-64 years","Web","Yes",54,"man","Other",0,1
352,"PINEVILLE","65-84 years","Postcard","Yes",66,"woman","Prefer not to answer",1,0
353,"CHARLOTTE","45-64 years","Web","Yes",58,"woman","Black",0,1
354,"DAVIDSON","25-44 years","Web","Yes",34,"man","White",0,1
355,"HUNTERSVILLE","25-44 years","Web","Yes",38,"woman","White",0,0
356,"MATTHEWS","65-84 years","Postcard","Yes",68,"woman","Black",0,0
357,"MATTHEWS","65-84 years","Web","Yes",76,"man","White",0,0
358,"CHARLOTTE","45-64 years","Web","Yes",56,"man","Other",0,0
359,"CHARLOTTE","65-84 years","Web","Yes",72,"man","Asian",1,1
360,"PINEVILLE","45-64 years","Postcard","Yes",58,"man","Other",0,0
361,"MATTHEWS","45-64 years","Web","Yes",56,"man","White",0,0
362,"CHARLOTTE","25-44 years","Web","Yes",30,"man","Black",0,1
363,"PINEVILLE","65-84 years","Postcard","Yes",81,"man","AIAN",0,0
364,"PINEVILLE","25-44 years","Web","Yes",28,"woman","Other",0,1
365,"DAVIDSON","25-44 years","Web","Yes",36,"woman","Asian",1,0
366,"CHARLOTTE","25-44 years","Postcard","Yes",28,"self-describe","White",0,0
